r,h,value
MD,hh2,13.781961610553044
MD,hh3,9.25551110019148
MD,hh4,13.344273445334762
MD,hh5,20.98414810804347
MA,hh1,15.355843286536842
MA,hh2,19.462804719507623
MA,hh3,14.480693539137832
MA,hh4,19.960193895106016
MA,hh5,24.121990274199877
MI,hh1,24.054065781916318
MI,hh2,32.51577503826084
MI,hh3,23.773165715121163
MI,hh4,25.368291799287164
MI,hh5,19.833762325609854
MN,hh1,10.419004079717133
MN,hh2,14.885094974295809
MN,hh3,12.51342878427536
MN,hh4,14.009771988718798
MN,hh5,12.089583829154575
MS,hh1,9.008789304058666
MS,hh2,9.089285078601181
MS,hh3,4.233498773653318
MS,hh4,5.172260787299342
MS,hh5,3.037357121666469
MO,hh1,13.64715395367276
MO,hh2,18.28484042224973
MO,hh3,12.520745569469604
MO,hh4,14.270246747930232
MO,hh5,9.61343771878078
MT,hh1,2.1228497162471243
MT,hh2,2.9516105884313246
MT,hh3,1.9856962005052734
MT,hh4,1.9807040756423313
MT,hh5,1.802773693674305
NE,hh1,2.59339210334676
NE,hh2,3.6614411677562466
NE,hh3,3.0801134813925795
NE,hh4,3.8974572629589286
NE,hh5,3.6209706545714475
NV,hh1,5.27777140329858
NV,hh2,8.8007307478639
NV,hh3,6.048770764907875
NV,hh4,9.37104625663195
NV,hh5,5.9730370408937725
NH,hh1,2.2078466794081026
NH,hh2,3.0320749300766767
NH,hh3,2.8117761707587414
NH,hh4,3.9884535783043096
NH,hh5,3.1266891497743154
NJ,hh1,17.60211106172912
NJ,hh2,25.339006781633625
NJ,hh3,16.748808925205374
NJ,hh4,28.034760790923663
NJ,hh5,30.308272209560077
NM,hh1,5.006052923612234
NM,hh2,6.937240549387456
NM,hh3,4.3765399861717755
NM,hh4,4.452602920750082
NM,hh5,3.469421074517485
NY,hh1,57.00474590860672
NY,hh2,63.932345396476734
NY,hh3,44.32064266740007
NY,hh4,58.76585669640692
NY,hh5,67.80326684219709
NC,hh1,22.95281631725498
NC,hh2,27.124433473432298
NC,hh3,20.302111500887026
NC,hh4,23.89253984355727
NC,hh5,18.107952869775367
ND,hh1,1.3848365389803308
ND,hh2,1.8661075910890972
ND,hh3,1.3876928177397423
ND,hh4,1.551960453544066
ND,hh5,1.1002991755313645
OH,hh1,31.4856497551689
OH,hh2,35.65313529195199
OH,hh3,24.545199863778436
OH,hh4,29.782570816884125
OH,hh5,19.211412341704296
OK,hh1,8.410638971231066
OK,hh2,10.06745335497735
OK,hh3,7.14847756486005
OK,hh4,8.287682882974167
OK,hh5,5.092483883747555
OR,hh1,6.4910797502027675
OR,hh2,12.092329832861854
OR,hh3,9.008018431368752
OR,hh4,12.806487752454153
OR,hh5,9.761547124464702
PA,hh1,31.722311067932218
PA,hh2,37.56067161870919
PA,hh3,30.673686413752193
PA,hh4,37.68237005288243
PA,hh5,30.543442100855593
RI,hh1,2.506536777027223
RI,hh2,2.869773126367866
RI,hh3,2.442707949128238
RI,hh4,2.1234233561509335
RI,hh5,2.567722444794809
SC,hh1,10.696304673726114
SC,hh2,13.28139765370976
SC,hh3,12.46111417238503
SC,hh4,12.681251753828676
SC,hh5,7.40225203487741
SD,hh1,1.2593126463653175
SD,hh2,1.9078498939806212
SD,hh3,1.7631318247247398
SD,hh4,2.4056264137422025
SD,hh5,1.022527451297031
TN,hh1,15.010304633210138
TN,hh2,21.083154596238455
TN,hh3,14.799939759825683
TN,hh4,13.475164514581436
TN,hh5,9.53237072573132
TX,hh1,48.78115246632295
TX,hh2,62.97130581701333
TX,hh3,44.97494491453609
TX,hh4,51.144024994881796
TX,hh5,50.48871543067739
UT,hh1,2.7275405568763906
UT,hh2,4.3766814966118925
UT,hh3,3.7122157494804324
UT,hh4,5.140174049357717
UT,hh5,5.615357626715232
VT,hh1,1.510815735484141
VT,hh2,1.8444243385694672
VT,hh3,1.4702377688956136
VT,hh4,1.7847472089548564
VT,hh5,1.51790667159242
VA,hh1,13.91922343301751
VA,hh2,17.554331269453165
VA,hh3,13.712697737902722
VA,hh4,15.13376618040426
VA,hh5,22.25095669653872
WA,hh1,12.100765008109441
WA,hh2,15.956597840567087
WA,hh3,15.540987589676146
WA,hh4,20.031144075651483
WA,hh5,17.269407341457402
WV,hh1,6.091397056399189
WV,hh2,7.755863867363167
WV,hh3,3.6524800424127575
WV,hh4,3.6000859577555024
WV,hh5,2.42219499518227
WI,hh1,11.60224925727781
WI,hh2,16.413239862458298
WI,hh3,11.88658179663123
WI,hh4,14.9550445683897
WI,hh5,9.747824174461869
WY,hh1,1.022248231727108
WY,hh2,1.1856848102541337
WY,hh3,0.9421508450685836
WY,hh4,1.5287235276023707
WY,hh5,0.9445098271411276
