r,q,h,value
MA,MA,hh1,1.1104430807956378
MA,MA,hh2,6.5688957204598255
MA,MA,hh3,16.467130946689768
MA,MA,hh4,64.4806193701508
MA,MA,hh5,243.95626720791313
MA,NH,hh1,0.15128917186653043
MA,NH,hh2,0.6743247012874081
MA,NH,hh3,0.7663661388125185
MA,NH,hh4,0.7606168456325878
MA,NH,hh5,0.7797955958319094
MA,RI,hh1,0.29295946667670475
MA,RI,hh2,0.8159949960975809
MA,RI,hh3,0.908036433622688
MA,RI,hh4,0.9022871404427631
MA,RI,hh5,0.9214658906420855
MI,IN,hh1,0.1642578318129987
MI,IN,hh2,0.47642421429001497
MI,IN,hh3,0.47642421429001497
MI,IN,hh4,0.47642421429001497
MI,IN,hh5,0.47642421429001497
MI,MI,hh1,1.5087622378244079
MI,MI,hh2,15.1104629548247
MI,MI,hh3,28.201988970783052
MI,MI,hh4,91.80375465991713
MI,MI,hh5,155.8273293591269
MI,OH,hh1,0.29135070597479024
MI,OH,hh2,0.45865519671027
MI,OH,hh3,0.45865519671027
MI,OH,hh4,0.45865519671027
MI,OH,hh5,0.45865519671027
MN,MN,hh1,0.8937936308028207
MN,MN,hh2,5.962734805643449
MN,MN,hh3,18.878380208725556
MN,MN,hh4,58.32276781216058
MN,MN,hh5,125.34186042815237
MN,ND,hh1,0.34825517385128135
MN,ND,hh2,0.6159923622328525
MN,ND,hh3,0.6159923622328525
MN,ND,hh4,0.6159923622328525
MN,ND,hh5,0.6159923622328525
MN,WI,hh1,0.034810443932303405
MN,WI,hh2,0.4351305491537925
MN,WI,hh3,0.24893949375805619
MN,WI,hh4,0.4351305491537925
MN,WI,hh5,0.4351305491537925
MS,LA,hh1,0.19484544550331886
MS,LA,hh2,0.256268295367698
MS,LA,hh3,0.020502229881415604
MS,LA,hh4,0.2562676882987683
MS,LA,hh5,0.25626769561816454
MS,MS,hh1,1.4016431416288715
MS,MS,hh2,7.745284108743375
MS,MS,hh3,10.304050249675925
MS,MS,hh4,28.7324763530267
MS,MS,hh5,26.32680062723959
MS,TN,hh1,0.4585952100612414
MS,TN,hh2,0.6142726232467595
MS,TN,hh3,0.05516536007734339
MS,TN,hh4,0.6121323042137394
MS,TN,hh5,0.6895670009667925
MO,IL,hh1,0.35931305810192754
MO,IL,hh2,0.11924948176223926
MO,IL,hh3,0.11916487270596707
MO,IL,hh4,0.35931305810192754
MO,IL,hh5,0.35931305810192754
MO,KS,hh1,0.1967565707785146
MO,KS,hh2,1.5809871757019558
