r,g,m,value
LA,pip,trn,0.6462365181149194
LA,trn,trn,0.7270923608993409
LA,mvt,trd,2.0272856699078203
LA,trk,trn,3.7754977614316934
LA,gmt,trd,1.4125802602634645
LA,wtt,trn,0.23615533862726173
LA,wht,trd,12.992651979834793
LA,ott,trd,7.8422011936074725
LA,air,trn,0.09797860363709704
LA,otr,trn,0.04703084928152073
ME,fbt,trd,0.36698619361611495
ME,pip,trn,0.044961262208646026
ME,trn,trn,0.08816083513600052
ME,mvt,trd,0.44692998569128484
ME,trk,trn,0.4577837061720948
ME,gmt,trd,0.31141367241847456
ME,wtt,trn,0.0153402468213213
ME,wht,trd,2.8643253635307557
ME,ott,trd,1.728870735522208
ME,air,trn,0.011880025133837827
ME,otr,trn,0.0057025478093122904
MD,fbt,trd,1.654776031666398
MD,pip,trn,0.10620565407295764
MD,trn,trn,0.4026383310943519
MD,mvt,trd,2.0152502764956024
MD,trk,trn,2.090738672914995
MD,gmt,trd,1.4041941904505326
MD,wtt,trn,0.13077457079358018
MD,wht,trd,12.91551846068332
MD,ott,trd,7.795644372344527
MD,air,trn,0.05425712546697657
MD,otr,trn,0.026044040183889474
MA,fbt,trd,2.48685245653562
MA,pip,trn,0.17280661252509832
MA,trn,trn,0.5501443556210688
MA,mvt,trd,3.0285851406672526
MA,trk,trn,2.85667804368416
MA,gmt,trd,2.1102697314623318
MA,wtt,trn,0.1786836632898641
MA,wht,trd,19.40987069956343
MA,ott,trd,11.715553637866204
MA,air,trn,0.0741341522222995
MA,otr,trn,0.0355852401478824
MI,fbt,trd,4.7726604522077904
MI,pip,trn,0.9442764475583184
MI,trn,trn,0.6488241913095012
MI,mvt,trd,5.812330558260335
MI,trk,trn,5.516731899225669
MI,gmt,trd,4.049939056244598
MI,wtt,trn,0.26154957958022723
MI,wht,trd,37.2505904107087
MI,ott,trd,22.483987490378187
MI,air,trn,0.14316567570189528
MI,otr,trn,0.06872116019495464
MN,fbt,trd,2.206147274925999
MN,pip,trn,0.4414593487698733
MN,trn,trn,0.604044996196205
MN,mvt,trd,2.686731509706166
MN,trk,trn,3.1365623593156022
MN,gmt,trd,1.8720715839772866
MN,wtt,trn,0.14093823474731276
MN,wht,trd,17.2189681932964
MN,ott,trd,10.39315246246403
MN,air,trn,0.08139747911541208
MN,otr,trn,0.03907172004973575
MS,fbt,trd,0.5046012156481199
MS,pip,trn,0.1400415408726865
MS,trn,trn,0.1575632631751028
MS,mvt,trd,0.6145228840007134
MS,trk,trn,0.8181625600710019
MS,gmt,trd,0.4281897259496996
MS,wtt,trn,0.05117562468172329
MS,wht,trd,3.9384099063989826
MS,ott,trd,2.377174645854735
MS,air,trn,0.021232279887119086
MS,otr,trn,0.010191736952822609
MO,fbt,trd,1.697492636986415
MO,pip,trn,0.19323159568613812
MO,trn,trn,0.43237921908955235
MO,mvt,trd,2.067272211207473
MO,trk,trn,2.2451711248114536
MO,gmt,trd,1.440442243285654
MO,wtt,trn,0.140434236956067
MO,wht,trd,13.248921346651413
MO,ott,trd,7.996882157698059
MO,air,trn,0.05826482907301193
MO,otr,trn,0.0279677837081245
MT,fbt,trd,0.3078234240834533
MT,pip,trn,0.09204830611878652
MT,trn,trn,0.10356520923318059
MT,mvt,trd,0.3748792758807996
MT,trk,trn,0.5377724160633974
MT,gmt,trd,0.26120988913967774
MT,wtt,trn,0.0033698975356758905
MT,wht,trd,2.402560250027897
MT,ott,trd,1.4501551253528009
MT,air,trn,0.013955826153227326
MT,otr,trn,0.0066989560174036625
NE,fbt,trd,0.8606643677152718
NE,pip,trn,0.23083536693911083
NE,trn,trn,0.2597170342778079
NE,mvt,trd,1.0481503670689976
