r,h,value
OK,hh2,19.28907424891906
OK,hh3,20.702632746435718
OK,hh4,49.680254509152036
OK,hh5,54.61529035160706
OR,hh1,7.087184640279384
OR,hh2,17.20577990118426
OR,hh3,18.548233532422074
OR,hh4,57.32880735745967
OR,hh5,99.29608714064697
PA,hh1,33.87324305830933
PA,hh2,53.773307355318416
PA,hh3,66.46732520948028
PA,hh4,151.84347639254446
PA,hh5,314.59265481052324
RI,hh1,2.699718636597616
RI,hh2,4.717532709614612
RI,hh3,5.732200676539114
RI,hh4,12.194664464554302
RI,hh5,27.35604267968362
SC,hh1,13.620868441228986
SC,hh2,22.75557829631517
SC,hh3,31.828904764360058
SC,hh4,64.62902099832458
SC,hh5,87.66363621111668
SD,hh1,1.549513350546022
SD,hh2,3.9921049846569288
SD,hh3,5.61654291671853
SD,hh4,15.73976277707797
SD,hh5,13.432829201646916
TN,hh1,17.769187838969728
TN,hh2,34.93476919392236
TN,hh3,37.493352618701344
TN,hh4,90.1852317073738
TN,hh5,110.28880971807885
TX,hh1,66.81906718498765
TX,hh2,125.61246464301334
TX,hh3,140.79467048245627
TX,hh4,321.79158751682866
TX,hh5,673.4094010167371
UT,hh1,3.441172861688658
UT,hh2,8.905565955628411
UT,hh3,12.193708346897022
UT,hh4,38.416717631469325
UT,hh5,77.47773193614174
VT,hh1,1.6803542602891686
VT,hh2,2.7006495026366233
VT,hh3,3.204386364136684
VT,hh4,9.68457636444933
VT,hh5,14.008856402931036
VA,hh1,17.497979541415308
VA,hh2,33.14396698510849
VA,hh3,43.94328174574839
VA,hh4,115.5266776472666
VA,hh5,210.84648011099583
WA,hh1,13.873617802537046
WA,hh2,26.4143574732479
WA,hh3,40.51484892547294
WA,hh4,120.63412054918123
WA,hh5,195.1407536002445
WV,hh1,7.585842742866885
WV,hh2,11.285560817662272
WV,hh3,8.290319772035046
WV,hh4,19.112530206087953
WV,hh5,24.081124312563613
WI,hh1,13.619094024828604
WI,hh2,26.441925474467464
WI,hh3,30.174081518237944
WI,hh4,76.59454608205743
WI,hh5,106.50995799650684
WY,hh1,1.4370843725818485
WY,hh2,2.814394098406939
WY,hh3,3.1618741577141685
WY,hh4,10.283132445913552
WY,hh5,10.347963953501583
