r,s,value
AK,man,0.02528063502831229
AK,mch,0.005796840476491072
AK,dat,0.05659754534532263
AK,amd,0.12412479989457183
AK,oil,2.9116495920058845
AK,hos,0.18508353329278437
AK,rnt,0.4180891578054995
AK,pla,0.0010072083137053736
AK,fof,0.22187480211177354
AK,fin,0.004794152429594662
AK,tsv,0.3986039247378331
AK,nrs,0.0193817398504409
AK,sec,0.006835015870709777
AK,art,0.06645632560177128
AK,mov,0.008737571102039631
AK,fpd,0.0014732371135791318
AK,slg,0.5426684487719411
AK,pri,0.0034124189169009275
AK,grd,0.04061054372269798
AK,pip,2.9667037284483944
AK,sle,0.1996287410563383
AK,osv,0.19818814954346106
AK,smn,0.1633271223210691
AK,fmt,0.004066304434771467
AK,pet,0.19677976691053872
AK,mvt,0.15441117220082692
AK,cep,0.002546578584371266
AK,wst,0.05297922143610585
AK,mot,0.0008610829921197344
AK,adm,0.1915850284953873
AK,soc,0.022146512406532197
AK,alt,0.00035837322364139993
AK,pmt,0.0009586843889389777
AK,trk,0.11024884225376662
AK,fdd,0.5210208093851096
AK,gmt,0.02842583972380527
AK,wtt,0.14634477459605297
AK,wpd,0.023064351202824657
AK,wht,0.3763390598569554
AK,wrh,0.0010801485141993322
AK,ott,0.4417601932754944
AK,che,0.0035237364672037253
AK,air,0.12313834944178234
AK,mmf,0.0021236330713212768
AK,otr,0.3353152710696241
AK,min,1.0226668070418274
AR,ppd,0.4761345181870367
AR,res,0.5895762261442877
AR,com,0.09648276081109075
AR,amb,1.0505143929158889
AR,fbp,1.1298088203721133
AR,rec,0.016482790956172257
AR,con,1.7125354074911505
AR,agr,2.2883767163831163
AR,eec,0.10321859622608914
AR,fnd,0.7221707008533741
AR,pub,0.10618050449899132
AR,hou,7.143086922367041
AR,fbt,0.30730862879300935
AR,ins,0.974184170765806
AR,tex,0.008859984115346484
AR,leg,0.26818986012079055
AR,fen,0.09899205754442097
AR,uti,1.553542792022627
AR,nmp,0.12248449543379882
AR,brd,0.6477888875348364
AR,bnk,1.8862922526569061
AR,ore,2.1524404894505187
