r,s,g,value
AL,tex,tex,1.4067884622643072
AL,tex,nmp,6.448413177307253e-05
AL,tex,mch,9.730898202328326e-05
AL,tex,pla,0.016981474352685474
AL,tex,tsv,0.009632930230364378
AL,tex,fpd,0.001059285420366582
AL,tex,pri,0.005527891196181761
AL,tex,fmt,0.001077564288675143
AL,tex,cep,0.0004844082233640144
AL,tex,mot,0.016259289585488834
AL,tex,alt,0.003675486690182935
AL,tex,pmt,3.784053162065607e-05
AL,tex,wht,0.015793384849248568
AL,tex,che,0.11498822199380167
AL,tex,mmf,0.0007069351298771177
AL,leg,com,0.003575885075293858
AL,leg,con,1.9840851538948563e-05
AL,leg,leg,3.3645905450385754
AL,leg,tsv,0.001918371979984433
AL,fen,res,0.023303410535969862
AL,fen,com,0.008595491178912704
AL,fen,ins,0.1383321914623586
AL,fen,fen,1.068110315863882
AL,fen,uti,0.241876584628766
AL,fen,ore,0.01206880202996226
AL,fen,mov,0.00027385640763005124
AL,fen,gmt,0.04533384521504462
AL,fen,ott,0.0009009482959302792
AL,uti,com,0.009533326714009822
AL,uti,con,0.050761765303272914
AL,uti,uti,8.42464617562343
AL,uti,oil,0.0014672913430154796
AL,uti,tsv,0.0026628479144821483
AL,uti,pip,0.045894143997148196
AL,uti,sle,0.07932657031900345
AL,uti,wst,9.567726352953248e-05
AL,uti,wht,0.02649412856115595
AL,uti,ott,0.015572915864023647
AL,nmp,ppd,0.0003326574514023766
AL,nmp,com,0.0006339973564013865
AL,nmp,con,0.0115484265586087
AL,nmp,eec,0.0022482389901482746
AL,nmp,tex,0.000147149770545586
AL,nmp,nmp,2.0331700089335087
AL,nmp,ote,5.028642878330451e-05
AL,nmp,mch,0.00011576078542264316
AL,nmp,pla,0.0006735470450524517
AL,nmp,tsv,0.0126034708512196
AL,nmp,fpd,0.00036002261376836327
AL,nmp,fmt,0.0015982996238058994
AL,nmp,pet,0.0005842005427620617
AL,nmp,alt,0.00024440150492763637
AL,nmp,pmt,1.9311306801898426e-05
AL,nmp,wpd,0.00047507817453743917
AL,nmp,wht,0.016974901544240573
AL,nmp,che,0.0009198429918045703
AL,nmp,mmf,0.00011467465416675189
AL,nmp,min,0.007825954878164725
AL,brd,com,0.013294399226574114
AL,brd,con,0.010229006304360246
AL,brd,brd,4.696954662469869
AL,brd,dat,4.6613389769652245e-05
AL,brd,rnt,0.06120077427088938
AL,brd,tsv,0.6885285856234741
AL,brd,mov,0.008279916436919652
AL,brd,osv,0.004577165243838093
AL,brd,wht,0.0007305063613575389
AL,brd,ott,0.022946959185612188
AL,bnk,com,0.03191788121333196
AL,bnk,con,2.027292448223946e-05
AL,bnk,bnk,9.756436310111953
AL,bnk,rnt,0.7014422372143829
