r,g,h,value
AL,hos,hh2,1.5329742198517136
AL,hos,hh3,1.8163460567901004
AL,hos,hh4,4.131959199026987
AL,hos,hh5,5.157568770926622
AL,rnt,hh1,0.1372520675160836
AL,rnt,hh2,0.15882056532049812
AL,rnt,hh3,0.16315422130726737
AL,rnt,hh4,0.19909329079536212
AL,rnt,hh5,0.20807589767608928
AL,pla,hh1,0.13644453859303954
AL,pla,hh2,0.15785530282941496
AL,pla,hh3,0.16246629127778703
AL,pla,hh4,0.19908836191358598
AL,pla,hh5,0.21321191742242776
AL,fof,hh1,0.017078265091006187
AL,fof,hh2,0.01735846932431128
AL,fof,hh3,0.017406033792995174
AL,fof,hh4,0.01770417472789024
AL,fof,hh5,0.017778277747451363
AL,fin,hh1,0.25018864615749964
AL,fin,hh2,0.31910575122576634
AL,fin,hh3,0.32615742421630295
AL,fin,hh4,0.47631433384861804
AL,fin,hh5,0.4436870756204249
AL,tsv,hh1,0.143298657098126
AL,tsv,hh2,0.16713262180590682
AL,tsv,hh3,0.17269108522492993
AL,tsv,hh4,0.21645345816295103
AL,tsv,hh5,0.24396820511221481
AL,nrs,hh1,0.2841626893874923
AL,nrs,hh2,0.4055690212089412
AL,nrs,hh3,0.44320567454728077
AL,nrs,hh4,0.8507728178327364
AL,nrs,hh5,1.1132388268513673
AL,sec,hh1,0.3031032616461784
AL,sec,hh2,0.4032703851378525
AL,sec,hh3,0.41085125153311136
AL,sec,hh4,0.6467910149756773
AL,sec,hh5,0.5725855764524787
AL,art,hh1,0.12468210999835394
AL,art,hh2,0.14224037597645847
AL,art,hh3,0.1460864050832483
AL,art,hh4,0.17521523657077284
AL,art,hh5,0.1896705470326581
AL,mov,hh1,0.06923397825002947
AL,mov,hh2,0.07421936100433908
AL,mov,hh3,0.07517225786031688
AL,mov,hh4,0.08163391228407427
AL,mov,hh5,0.08385875120731842
AL,fpd,hh1,0.180587963159013
AL,fpd,hh2,0.22075706575034598
AL,fpd,hh3,0.23146739648765474
AL,fpd,hh4,0.3239148128819438
AL,fpd,hh5,0.4167381130943696
AL,pri,hh1,0.01988178927567709
AL,pri,hh2,0.02026323117209538
AL,pri,hh3,0.020328468897939614
AL,pri,hh4,0.0207384757169735
AL,pri,hh5,0.02084292206401158
AL,grd,hh1,0.07223231820071511
AL,grd,hh2,0.07768319214562362
AL,grd,hh3,0.0787037282029578
AL,grd,hh4,0.08577014818378965
AL,grd,hh5,0.08778231230321062
AL,sle,hh1,0.12966457857225938
AL,sle,hh2,0.14858827228979218
AL,sle,hh3,0.15218625084067672
AL,sle,hh4,0.18232671811420856
AL,sle,hh5,0.18817677772743335
AL,osv,hh1,0.5010130702266105
AL,osv,hh2,0.955733572354282
AL,osv,hh3,1.1014368445122782
AL,osv,hh4,2.481997271259187
AL,osv,hh5,2.9415166423658694
AL,trn,hh1,0.0025461020129309213
AL,trn,hh2,0.0025521920348890014
AL,trn,hh3,0.0025532035343992284
AL,trn,hh4,0.0025593914880254467
AL,trn,hh5,0.00256090741352576
AL,fmt,hh1,0.09131426642327971
AL,fmt,hh2,0.1002730098950619
AL,fmt,hh3,0.10208942883770032
AL,fmt,hh4,0.11488425498366098
AL,fmt,hh5,0.12023948978971019
AL,pet,hh1,0.38540128624400827
AL,pet,hh2,0.5877714677934113
AL,pet,hh3,0.6221068459769044
AL,pet,hh4,1.1685688302839343
AL,pet,hh5,1.0841270936604124
AL,cep,hh1,0.197003889884534
AL,cep,hh2,0.24613467340996803
