r,g,m,value
CT,ott,trd,6.45882705956931
CT,air,trn,0.03827039700494113
CT,otr,trn,0.018724138150974047
DE,fbt,trd,0.3816805664021651
DE,pip,trn,0.12693316124661477
DE,trn,trn,0.12318470603047685
DE,mvt,trd,0.45685746692074797
DE,trk,trn,0.5093127061703463
DE,gmt,trd,0.3363605215534593
DE,wtt,trn,0.05505182837825983
DE,wht,trd,3.0445578104257804
DE,ott,trd,1.5678595824927162
DE,air,trn,0.011251220779217141
DE,otr,trn,0.0055047616101283675
DC,fbt,trd,0.7867903944067239
DC,pip,trn,0.14360969324460165
DC,trn,trn,0.19927517428435304
DC,mvt,trd,0.9417588900963052
DC,trk,trn,0.8279336533620231
DC,gmt,trd,0.6933683574998919
DC,wtt,trn,0.06176215601063804
DC,wht,trd,6.2760042069707636
DC,ott,trd,3.2319614040396902
DC,air,trn,0.018201033666756652
DC,otr,trn,0.008905020473732749
FL,fbt,trd,4.656108787284356
FL,pip,trn,1.857212007018339
FL,trn,trn,1.4549438525289276
FL,mvt,trd,5.5731893460481405
FL,trk,trn,5.293658067735957
FL,gmt,trd,4.103251037545429
FL,wtt,trn,0.3968235303419013
FL,wht,trd,37.14046148103359
FL,ott,trd,19.1262679367867
FL,air,trn,0.11694213580028101
FL,otr,trn,0.0572149984781115
GA,fbt,trd,3.379224068281486
GA,pip,trn,0.8430462625155373
GA,trn,trn,1.0021367881477272
GA,mvt,trd,4.044805745666455
GA,trk,trn,4.143379612385493
GA,gmt,trd,2.9779812495235167
GA,wtt,trn,0.5093132993361269
GA,wht,trd,26.955113610434058
GA,ott,trd,13.881107143565313
GA,air,trn,0.09153134847467226
GA,otr,trn,0.04478254076547559
HI,fbt,trd,0.5366609891048253
HI,pip,trn,0.20196295227639866
HI,trn,trn,0.29781866527237383
HI,mvt,trd,0.6423632787719078
HI,trk,trn,0.7513260434555789
HI,gmt,trd,0.4729388553738806
HI,wtt,trn,0.0530586073761566
HI,wht,trd,4.280792761684218
HI,ott,trd,2.2044849761395833
HI,air,trn,0.01563613645544225
HI,otr,trn,0.007650121296138686
ID,fbt,trd,0.5161277533424496
ID,pip,trn,0.17968974716149208
ID,trn,trn,0.1586861731333968
ID,mvt,trd,0.6177857579237511
ID,trk,trn,0.6560951182559198
ID,gmt,trd,0.4548436980665117
ID,wtt,trn,0.07438525191734889
ID,wht,trd,4.1170049537197295
ID,ott,trd,2.120138972482426
ID,air,trn,0.014493789254091316
ID,otr,trn,0.007091217587569584
IL,fbt,trd,4.430668967871723
IL,pip,trn,1.5105811975403145
IL,trn,trn,1.406142033948656
IL,mvt,trd,5.303346252356532
IL,trk,trn,5.81375746753075
IL,gmt,trd,3.904579525523379
IL,wtt,trn,0.43581125439101875
IL,wht,trd,35.34219187185861
IL,ott,trd,18.200210882131483
IL,air,trn,0.12843164529677556
IL,otr,trn,0.06283634500011168
IN,fbt,trd,3.8776375748504925
IN,pip,trn,1.1798914550733588
IN,trn,trn,1.3044051288704206
IN,mvt,trd,4.641388207898183
IN,trk,trn,5.3931216588129685
IN,gmt,trd,3.41721405773046
IN,wtt,trn,0.40427952633684927
IN,wht,trd,30.930817033194867
IN,ott,trd,15.928479897394839
IN,air,trn,0.1191393847774682
IN,otr,trn,0.05829002242927739
IA,fbt,trd,1.396913368432014
IA,pip,trn,0.47862683392008204
IA,trn,trn,0.4711499764274478
IA,mvt,trd,1.6720534373163185
IA,trk,trn,1.9479907631308526
IA,gmt,trd,1.23104645751261
IA,wtt,trn,0.2319248773030416
IA,wht,trd,11.142782422583801
IA,ott,trd,5.738212011299005
IA,air,trn,0.04303304018598426
IA,otr,trn,0.021054304437833633
KS,fbt,trd,1.0925738922782129
KS,pip,trn,0.2938739734791538
KS,trn,trn,0.4077843630161439
KS,mvt,trd,1.3077703838974786
KS,trk,trn,1.6860027852022401
KS,gmt,trd,0.962843688130484
KS,wtt,trn,0.2154485691719248
KS,wht,trd,8.71515259097053
KS,ott,trd,4.488052569029209
KS,air,trn,0.03724546696139325
KS,otr,trn,0.01822268184969772
KY,fbt,trd,2.2071555543860457
KY,pip,trn,0.5234964242165993
KY,trn,trn,0.7264122554409804
KY,mvt,trd,2.6418832511750017
KY,trk,trn,3.003384133761028
KY,gmt,trd,1.9450819841863807
KY,wtt,trn,0.22513987108382139
KY,wht,trd,17.60585493066529
KY,ott,trd,9.066508202437406
KY,air,trn,0.06634772226248184
KY,otr,trn,0.0324612236837985
LA,fbt,trd,1.2530432592172192
LA,pip,trn,0.5995798069288248
LA,trn,trn,0.831986809689893
LA,mvt,trd,1.4998462582056409
LA,trk,trn,4.392826533306502
LA,gmt,trd,1.1042592190959386
LA,wtt,trn,0.25786101717586074
LA,wht,trd,9.995171296280912
LA,ott,trd,5.147225334945629
