r,m,s,value
CT,trd,nmp,0.44164719355036336
CT,trd,ote,0.8950637244501852
CT,trd,mch,2.022917764233873
CT,trd,oil,0.046025110775880916
CT,trd,pla,1.2481453549829022
CT,trd,fof,0.054616008696230886
CT,trd,mov,0.11507201321505141
CT,trd,fpd,0.8306308125241826
CT,trd,pri,0.22437544408384372
CT,trd,fmt,1.5915515510044023
CT,trd,pet,1.7178904847573828
CT,trd,cep,2.951618127843589
CT,trd,mot,1.9622183370635378
CT,trd,alt,2.9522553435722965
CT,trd,pmt,0.48339145824312707
CT,trd,wpd,0.2664312218699426
CT,trd,che,5.32414467329517
CT,trd,mmf,3.343713911905116
CT,trd,min,0.059083959877622806
DE,trn,ppd,0.039157721714871585
DE,trn,fbp,0.08035565269634212
DE,trn,agr,0.21379590115511055
DE,trn,eec,0.01928174056563798
DE,trn,pub,0.013344802038561707
DE,trn,tex,0.011786903703436736
DE,trn,nmp,0.06688294146180616
DE,trn,ote,0.009550670998966016
DE,trn,mch,0.024588673768721033
DE,trn,oil,0.17558398022898256
DE,trn,pla,0.016472901480607156
DE,trn,fof,0.011907193051989496
DE,trn,mov,0.00013593164828846644
DE,trn,fpd,0.041726103468618915
DE,trn,pri,0.010549065945223961
DE,trn,fmt,0.026859337680306263
DE,trn,pet,0.10155815864438242
DE,trn,cep,0.02691212777583017
DE,trn,mot,0.02756872910029677
DE,trn,alt,0.02312883305254394
DE,trn,pmt,0.012611791384313358
DE,trn,wpd,0.018308175528003203
DE,trn,che,0.11361428457318605
DE,trn,mmf,0.05050108705616566
DE,trn,min,0.06902044037670202
DE,trd,ppd,0.20367995448868262
DE,trd,fbp,1.6583306875688226
DE,trd,agr,0.49053979868120623
DE,trd,eec,0.24212870608742115
DE,trd,pub,0.25819269211782986
DE,trd,tex,0.18463819145060148
DE,trd,nmp,0.12387562645302193
DE,trd,ote,0.0568107946253555
DE,trd,mch,0.2575713204230017
DE,trd,oil,0.05420140220370698
DE,trd,pla,0.2859867645863972
DE,trd,fof,0.02637158565622483
DE,trd,mov,0.008617697758273118
DE,trd,fpd,0.2163719051794542
DE,trd,pri,0.050080016159979604
DE,trd,fmt,0.2550682041081568
DE,trd,pet,0.47543424969093295
DE,trd,cep,0.651177754357227
DE,trd,mot,0.4572963151460251
DE,trd,alt,0.7997013420118076
DE,trd,pmt,0.030955018367201204
DE,trd,wpd,0.0753667089695074
DE,trd,che,1.405913488553562
DE,trd,mmf,0.7023492845250281
DE,trd,min,0.015207407100052904
DC,trn,ppd,0.03724443788799694
DC,trn,fbp,0.11801216920009122
DC,trn,agr,0.07826386442675684
DC,trn,eec,0.02920575766189292
DC,trn,pub,0.04588171455066761
DC,trn,tex,0.015855327636095835
DC,trn,nmp,0.07158308601431217
DC,trn,ote,0.08775383135572223
DC,trn,mch,0.03406514359069335
DC,trn,oil,0.06728517643068457
DC,trn,pla,0.02115628992723767
DC,trn,fof,0.009127313331243066
DC,trn,mov,0.0005549325538922661
DC,trn,fpd,0.03982865434681689
DC,trn,pri,0.023548649877396223
DC,trn,fmt,0.042957332369472065
DC,trn,pet,0.18922893979191607
DC,trn,cep,0.06492763121776701
DC,trn,mot,0.03797907976518947
DC,trn,alt,0.02924366111513496
DC,trn,pmt,0.005738336530598408
DC,trn,wpd,0.016116510653247627
DC,trn,che,0.11451038568086086
DC,trn,mmf,0.05377868228344907
DC,trn,min,0.11998078817018004
DC,trd,ppd,0.19372795662682135
DC,trd,fbp,2.435462784810211
DC,trd,agr,0.17957098378635972
DC,trd,eec,0.3667486495269594
DC,trd,pub,0.8877106879957484
DC,trd,tex,0.24836879075646456
DC,trd,nmp,0.13258088579323693
DC,trd,ote,0.5219910612854058
DC,trd,mch,0.3568392544300458
DC,trd,oil,0.020770408013936453
