r,g,value
DE,air,0.015513428656264285
DE,mmf,0.02145734011102282
DE,otr,0.19743238962274898
DE,min,0.0028511111403644778
DC,ppd,0.0011729653662429192
DC,res,0.2909416655723618
DC,com,0.36414565832835283
DC,amb,0.22977251024658485
DC,fbp,0.05134594700249181
DC,rec,0.03512898214565557
DC,con,0.27879049227718733
DC,agr,0.002419987337725376
DC,fnd,0.5145473293839004
DC,pub,0.159204378021145
DC,hou,0.4585835416623258
DC,ins,0.22020496340184795
DC,tex,0.0008115726319644443
DC,leg,0.20905856489236135
DC,fen,0.021983152007807146
DC,uti,2.3966920288800004
DC,nmp,0.019257863044520863
DC,brd,0.4150340835763837
DC,bnk,0.29447873073182496
DC,ore,0.4631926027162543
DC,edu,0.10975381449539329
DC,man,0.08176476228547024
DC,mch,0.00023188067672236126
DC,dat,0.18547519552434752
DC,amd,0.06876663066529928
DC,hos,0.24418838753589409
DC,rnt,0.045211331210257874
DC,fof,0.002321598745113011
DC,fin,0.04659646210461178
DC,tsv,1.498939988677998
DC,nrs,0.05781481785906048
DC,sec,0.15015956696855037
DC,art,0.06108010703405222
DC,mov,0.017373344918568807
DC,fpd,0.004812836457895648
DC,slg,2.2048553502015737
DC,pri,0.003452929627218186
DC,grd,0.04241764659849347
DC,sle,0.04432052168368104
DC,osv,0.3283365192254
DC,trn,0.004312992955857139
DC,wst,0.025435360162546848
DC,adm,0.41601662530476663
DC,soc,0.04811573160652051
DC,alt,0.001764844834690469
DC,pmt,0.001418347817878262
DC,trk,0.0047209015433389255
DC,fdd,1.3462571119502453
DC,wtt,0.001303066887010347
DC,wpd,0.0002497830134409033
DC,wht,0.008202411547073775
DC,wrh,0.0004991371677801474
DC,ott,0.0012600972732188511
DC,che,0.0013602926946404048
DC,air,0.004771349354285981
DC,mmf,0.001726812129129758
DC,otr,0.036802225436562766
DC,min,0.001866574090335142
FL,ppd,1.47805998916844
FL,res,35.003669975954736
FL,com,10.65237438893071
FL,amb,37.22698292082382
FL,fbp,13.128624594058724
FL,rec,6.608400059345175
FL,con,58.524909368104886
FL,agr,6.6574179259898445
FL,eec,0.4019176854389939
FL,fnd,7.298012170599747
FL,pub,3.2093606699233983
FL,hou,82.3906174916705
FL,ins,30.158966303922938
FL,tex,0.10311167206711959
FL,leg,9.85856507684895
FL,fen,1.8777036541775454
FL,uti,28.85495283315
FL,nmp,4.514578509357177
FL,brd,20.438016501465718
FL,bnk,14.201196510212158
FL,ore,43.71943820637071
FL,edu,9.61079254315125
FL,ote,1.3337142178492842
FL,man,12.928110431107068
FL,mch,1.5449797595853842
FL,dat,5.8074368536259255
FL,amd,7.1875233035765245
FL,oil,0.014253273969309276
FL,hos,30.677510949633135
FL,rnt,10.973488382727652
FL,pla,1.3891303277135754
FL,fof,1.7967778884373875
FL,fin,4.869377244331413
FL,tsv,46.41511351853846
FL,nrs,6.991773484346814
FL,sec,9.096820617990051
FL,art,5.989836728481293
FL,mov,1.6053264942292031
FL,fpd,0.965817466016708
FL,slg,33.441011092573696
FL,pri,1.0905379595092823
FL,grd,1.8608734295772689
FL,pip,3.1168790910257185e-05
FL,sle,2.5360674063526663
FL,osv,27.370854383412237
FL,trn,0.25255536510242116
FL,smn,0.1110053210546956
FL,fmt,3.2284932620698115
FL,pet,4.0491806080371955
FL,cep,0.23627402577144835
FL,wst,3.492461176400002
FL,mot,0.34381036191614783
FL,adm,27.791983644886
FL,soc,7.211710634722599
FL,alt,0.03399902642116667
FL,pmt,2.005226678193575
FL,trk,1.5335475798347773
FL,fdd,11.46714640922936
FL,wtt,0.8746644057183833
FL,wpd,2.3940312361904406
FL,wht,2.819483898617563
FL,wrh,2.645506060224514
FL,ott,0.25135541100506753
FL,che,4.985166625959887
FL,air,5.128975271999324
FL,mmf,2.149113829318499
FL,otr,8.38019150015684
FL,min,1.2334916637549103
GA,ppd,2.745530915279313
GA,res,7.545823458632079
GA,com,6.704869483869218
GA,amb,13.779762700458601
GA,fbp,11.941627766657568
GA,rec,2.1182830839300317
GA,con,22.964633310618968
