r,g,value
CA,uti,12.6884741415
CA,nmp,6.9095221047
CA,brd,29.9217533087
CA,bnk,61.5308997683
CA,ore,53.4982321107
CA,edu,18.4678642751
CA,ote,11.0444139215
CA,man,28.1660916731
CA,mch,15.6055974655
CA,dat,16.1919481952
CA,amd,14.6969846
CA,oil,15.5583323466
CA,hos,55.6425669978
CA,rnt,19.9458517349
CA,pla,16.7908121634
CA,fof,1.2328783132
CA,fin,9.5426033089
CA,tsv,80.286000416
CA,nrs,14.2949138904
CA,sec,16.8061290413
CA,art,9.4430655036
CA,mov,11.4377287438
CA,fpd,2.9324554701
CA,slg,61.4999350468
CA,pri,6.7073139033
CA,grd,4.2513116238
CA,pip,0.0024554928
CA,sle,4.3173520342
CA,osv,33.2745907316
CA,trn,0.3880018598
CA,smn,1.098500312
CA,fmt,15.9039239729
CA,pet,5.819589616
CA,cep,14.7569768285
CA,wst,6.2114738268
CA,mot,26.6863715589
CA,adm,40.7965185819
CA,soc,12.7148593698
CA,alt,0.4601502461
CA,pmt,10.0964200976
CA,trk,2.0713379047
CA,fdd,29.8054429681
CA,wtt,1.2043434865
CA,wpd,6.0866057748
CA,wht,3.8641587556
CA,wrh,5.7393584871
CA,ott,0.2326397501
CA,che,19.3592034162
CA,air,9.0967548958
CA,mmf,5.2933191152
CA,otr,10.3332653359
CA,min,4.5404974036
CO,ppd,1.836727794
CO,res,9.6922819446
CO,com,5.8170884298
CO,amb,8.8592202541
CO,fbp,8.3702860887
CO,rec,2.7105413391
CO,con,18.7256078609
CO,agr,2.4921637531
CO,eec,1.2867916968
CO,fnd,2.6125963998
CO,pub,2.639672958
CO,hou,21.7137424664
CO,ins,9.5987329465
CO,tex,0.4725610548
CO,leg,3.3501679122
CO,fen,0.5789232701
CO,uti,2.8039726641
CO,nmp,0.5816820391
CO,brd,6.9546568894
CO,bnk,9.5148177157
CO,ore,11.8195277864
CO,edu,4.2298531675
CO,ote,2.1404586245
CO,man,4.8496691304
CO,mch,1.6879300133
CO,dat,2.770087871
CO,amd,2.7242630786
CO,oil,0.8714438274
CO,hos,9.4446580891
CO,rnt,4.1720834193
CO,pla,2.1871758724
CO,fof,0.2541436435
CO,fin,1.5656448132
CO,tsv,17.9648892937
CO,nrs,2.4887805669
CO,sec,5.195945817
CO,art,1.9050512694
CO,mov,1.0902888182
CO,fpd,0.7081793398
CO,slg,11.9714606036
CO,pri,0.8823725277
CO,grd,1.2973646773
CO,pip,0.0059659935
CO,sle,0.8949877457
CO,osv,7.1583201533
CO,trn,0.0831248488
CO,smn,1.5135243538
CO,fmt,3.2604043579
CO,pet,5.2566963776
CO,cep,2.4392162865
CO,wst,1.4045620551
CO,mot,4.1090787309
CO,adm,8.0696015131
CO,soc,2.1091743407
CO,alt,0.1624045651
CO,pmt,1.1800936745
CO,trk,0.4500458759
CO,fdd,4.1050939248
CO,wtt,0.5299275374
CO,wpd,1.1687609524
CO,wht,0.7488062096
CO,wrh,1.4195386437
CO,ott,0.0619665084
CO,che,6.6778122266
CO,air,1.5818244869
CO,mmf,1.2341229603
CO,otr,2.7194977242
CO,min,0.2160593555
CT,ppd,1.0689184723
CT,res,7.4325830637
CT,com,4.9083743701
CT,amb,8.640546598
CT,fbp,7.1101917443
CT,rec,1.8793303437
CT,con,11.7953890751
CT,agr,2.2449652172
CT,eec,0.8236708851
CT,fnd,4.5395107526
CT,pub,2.3773979221
CT,hou,16.4245381988
CT,ins,16.1768211635
CT,tex,0.3776957638
CT,leg,3.7755037229
CT,fen,0.710676191
CT,uti,0.7130882036
CT,nmp,0.9127623303
CT,brd,6.6896290135
CT,bnk,11.1608851929
CT,ore,12.1398221232
CT,edu,3.2228489502
CT,ote,3.4779386602
CT,man,4.4989962353
CT,mch,2.183798286
CT,dat,3.1640937375
CT,amd,1.9073718685
CT,oil,0.4637982364
CT,hos,8.3431307852
CT,rnt,2.7583648637
CT,pla,1.4778717509
CT,fof,0.19711811
CT,fin,2.6838081729
CT,tsv,18.2968817557
CT,nrs,1.9174493965
CT,sec,4.7003379077
CT,art,1.7870059098
CT,mov,1.3757842322
CT,fpd,0.5726887284
CT,slg,18.8693997193
CT,pri,0.5964038054
CT,grd,0.8870699003
CT,sle,1.187805121
CT,osv,8.4451097912
CT,trn,0.0634771132
CT,smn,0.0125659601
CT,fmt,2.8227014827
CT,pet,4.4806260295
CT,cep,1.7346245632
CT,wst,1.1422747117
CT,mot,2.5571084935
CT,adm,8.8878948906
CT,soc,1.7976711726
CT,alt,0.1093190789
CT,pmt,2.1191940404
CT,trk,0.3494130042
CT,fdd,8.2505887739
CT,wtt,0.2340639091
CT,wpd,0.728639391
CT,wht,0.799983524
CT,wrh,0.9918702588
CT,ott,0.0607652883
CT,che,4.6523898962
CT,air,2.0334714159
CT,mmf,1.3023897324
CT,otr,1.8017987967
CT,min,0.4311956749
DE,ppd,0.4335313672
DE,res,2.4055277946
DE,com,1.232270038
DE,amb,2.8509192203
DE,fbp,1.8545650543
DE,rec,0.4130473301
DE,con,4.0024881713
DE,agr,0.3346258932
DE,eec,0.1713745774
DE,fnd,2.0746183364
DE,pub,0.5762980366
DE,hou,4.1464294082
DE,ins,3.6366087641
DE,tex,0.0949059502
DE,leg,0.8236129587
DE,fen,0.1314212945
DE,uti,0.1744511419
DE,nmp,0.2547569548
DE,brd,1.8119938942
DE,bnk,2.8623549813
DE,ore,3.028086772
DE,edu,0.9070766444
DE,ote,0.3870502494
DE,man,0.9962712411
DE,mch,0.4166171435
DE,dat,1.2243398965
DE,amd,0.5042838063
DE,oil,0.5437462843
DE,hos,2.4593198768
DE,rnt,0.6491344418
DE,pla,0.3677408371
DE,fof,0.0933939114
DE,fin,0.3837992537
DE,tsv,5.4213904712
DE,nrs,0.5606386124
DE,sec,1.2866222444
DE,art,0.2999437936
DE,mov,0.1537810447
DE,fpd,0.1565359856
DE,slg,9.606508267
DE,pri,0.2148388414
DE,grd,0.2282233618
DE,sle,0.215544537
DE,osv,2.0612439227
DE,trn,0.0145471393
DE,smn,0.0006150566
DE,fmt,0.5863486438
DE,pet,0.2320513827
DE,cep,0.4305968042
DE,wst,0.2887966635
DE,mot,1.510387575
DE,adm,2.14398111
DE,soc,0.5254400252
DE,alt,0.0321626099
DE,pmt,0.1414160929
DE,trk,0.0732837763
DE,fdd,3.5162686492
DE,wtt,0.0587345965
DE,wpd,0.2113955715
DE,wht,0.1854493892
DE,wrh,0.2093907679
DE,ott,0.0133637479
