r,s,value
IN,fin,0.004455801122531353
IN,tsv,0.006871091194198426
IN,nrs,0.014270119498761016
IN,sec,0.007851673977621907
IN,art,0.013309285403321101
IN,mov,0.024341620657264303
IN,fpd,0.004918677859391394
IN,pri,0.008617804551539491
IN,grd,0.011141016019254161
IN,pip,0.06784181356002834
IN,osv,0.014796910923775275
IN,trn,0.017718770050836583
IN,smn,0.01898550317205964
IN,fmt,0.008397182654770172
IN,pet,0.0065333494329528246
IN,mvt,0.010032667501646287
IN,cep,0.022617594539002285
IN,wst,0.016773417318376446
IN,mot,0.00583093801463017
IN,adm,0.004217383850505743
IN,soc,0.005145252721391277
IN,alt,0.01790036947381832
IN,pmt,0.010874118786459155
IN,trk,0.01081501281981343
IN,gmt,0.01272289304196054
IN,wtt,0.014726277372262776
IN,wpd,0.0060157891327083084
IN,wht,0.00686806628587302
IN,wrh,0.006232770955772386
IN,ott,0.01471579010251934
IN,che,0.017476846939654785
IN,air,0.016505048904711533
IN,mmf,0.009847496201589975
IN,otr,0.009323882224645582
IN,min,0.02797772237413543
IA,ppd,0.00922442306755374
IA,res,0.005490555877940016
IA,com,0.004192480692523127
IA,amb,0.0075592883529996225
IA,fbp,0.007293578918954378
IA,rec,0.025407678703226622
IA,con,0.0052401164893313285
IA,agr,0.023192693118367042
IA,eec,0.009018712622982443
IA,pub,0.012558444668909001
IA,hou,0.12380870246503578
IA,fbt,0.014199176157014779
IA,ins,0.006582187574195549
IA,tex,0.01196845958884821
IA,leg,0.00366321956624887
IA,uti,0.07293153801707332
IA,nmp,0.011188602250300748
IA,brd,0.004560385395611312
IA,bnk,0.016479905141813744
IA,ore,0.02189809292777914
IA,edu,0.023444226018043076
IA,ote,0.007874015748031498
IA,man,0.013485824719544924
IA,mch,0.009128371529220584
IA,dat,0.009892605566034102
IA,amd,0.02258265655075192
IA,oil,0.0947808069171304
IA,hos,0.0137333014193053
IA,rnt,0.026103367313579217
IA,pla,0.006596984958536853
IA,fof,0.02234573502722323
IA,fin,0.004455801122531353
IA,tsv,0.006871091194198426
