r,g,value
AK,wht,0.1213700067693699
AK,wrh,0.048725542370779064
AK,ott,0.8614832455780713
AK,che,0.23790434993609422
AK,air,0.9644004727405433
AK,mmf,0.02136884142557803
AK,otr,1.3637883512631235
AK,min,0.2018214645923635
AR,ppd,3.3319435891556703
AR,res,1.8762983805375355
AR,com,1.0851008556268478
AR,amb,4.722108969018531
AR,fbp,8.670085503348016
AR,rec,0.3789967820847759
AR,con,5.585046896805774
AR,agr,2.4469043871372573
AR,eec,0.699518785286643
AR,fnd,1.5842692230635103
AR,pub,0.34373586850884214
AR,hou,6.227125780625905
AR,fbt,1.0145004605143366
AR,ins,2.3773037870471265
AR,tex,0.14951757596819673
AR,leg,0.5564271826192067
AR,fen,0.28883001003191316
AR,uti,1.4576647711344453
AR,nmp,0.3958373401495395
AR,brd,1.491749825942435
AR,bnk,2.5327209542168427
AR,ore,3.8915908742390553
AR,edu,0.7686570599849305
AR,ote,0.1090017832179806
AR,man,6.46152090679969
AR,mch,2.107766179538589
AR,dat,0.3746116830032864
AR,amd,0.7307750510052544
AR,oil,0.2772246814964421
AR,hos,3.784384965390467
AR,rnt,0.9468151780493403
AR,pla,3.0833222638835625
AR,fof,0.27765513605353814
AR,fin,0.20735261456864776
AR,tsv,3.5422026851978816
AR,nrs,0.9456349410903734
AR,sec,0.5699325481632292
AR,art,0.2838073967330395
AR,mov,0.07862323717048042
AR,fpd,0.4179304506610338
AR,slg,4.276759149544597
AR,pri,0.46090131639850707
AR,grd,0.12420386334521638
AR,sle,0.2779545186236315
AR,osv,3.446550893922089
AR,trn,1.0349574223352458
AR,smn,0.30639226766167826
AR,fmt,3.150145294604172
AR,pet,0.9096135318579739
AR,mvt,1.235233811922468
AR,cep,0.1459077833554501
AR,wst,0.5495155297722869
AR,mot,1.4036263344524988
AR,adm,2.832222937069478
AR,soc,1.049183629288713
AR,alt,0.06664911905895278
AR,pmt,4.5579776732278035
AR,trk,4.585773878373732
AR,fdd,1.9376447789317244
AR,gmt,0.8966659670027946
AR,wpd,2.1230753731117047
AR,wht,9.288301312200174
AR,wrh,0.5891126831369826
AR,ott,4.205211853441227
AR,che,1.1096088093551921
AR,air,0.08747939394567042
AR,mmf,0.3175892531836395
AR,otr,1.0201841365508109
AR,min,0.24441611950978717
AZ,ppd,0.30207050579352973
AZ,res,9.123046029888902
AZ,com,3.6139925478057133
